CMDLINE python3 alignEM.py
MEM 0.339844 1670019766.3583
MEM 20.398438 1670019766.4705
MEM 25.726562 1670019766.5808
MEM 35.539062 1670019766.6924
MEM 41.816406 1670019766.8034
CHLD 34289 9.410156 1670019766.8136
MEM 48.496094 1670019766.9139
CHLD 34289 9.410156 1670019766.9228
MEM 56.601562 1670019767.0234
CHLD 34289 9.410156 1670019767.0332
MEM 62.792969 1670019767.1351
CHLD 34289 9.410156 1670019767.1429
MEM 68.164062 1670019767.2432
CHLD 34289 9.410156 1670019767.2516
MEM 79.722656 1670019767.3532
CHLD 34289 9.410156 1670019767.3627
MEM 91.929688 1670019767.4668
CHLD 34289 9.410156 1670019767.4749
MEM 101.652344 1670019767.5795
CHLD 34289 9.410156 1670019767.5893
MEM 105.582031 1670019767.6916
CHLD 34289 9.410156 1670019767.6997
MEM 111.714844 1670019767.8019
CHLD 34289 9.410156 1670019767.8125
MEM 119.750000 1670019767.9131
CHLD 34289 9.410156 1670019767.9210
MEM 125.527344 1670019768.0245
CHLD 34289 9.410156 1670019768.0336
MEM 135.089844 1670019768.1366
CHLD 34289 9.410156 1670019768.1464
MEM 137.785156 1670019768.2468
CHLD 34289 9.410156 1670019768.2552
MEM 142.210938 1670019768.3571
CHLD 34289 9.410156 1670019768.3665
MEM 145.125000 1670019768.4699
CHLD 34289 9.410156 1670019768.4785
MEM 149.394531 1670019768.5828
CHLD 34289 9.410156 1670019768.5926
MEM 153.871094 1670019768.6930
CHLD 34289 9.410156 1670019768.7047
MEM 156.988281 1670019768.8069
CHLD 34289 9.410156 1670019768.8166
MEM 157.386719 1670019768.9190
CHLD 34289 9.410156 1670019768.9291
MEM 168.113281 1670019769.0328
CHLD 34289 9.410156 1670019769.0430
MEM 178.359375 1670019769.1431
CHLD 34289 9.410156 1670019769.1540
MEM 187.058594 1670019769.2543
CHLD 34289 9.410156 1670019769.2639
MEM 188.410156 1670019769.3642
CHLD 34289 9.410156 1670019769.3718
MEM 193.195312 1670019769.4726
CHLD 34289 9.410156 1670019769.4820
MEM 204.519531 1670019769.5837
CHLD 34289 9.410156 1670019769.5940
MEM 213.238281 1670019769.6950
CHLD 34289 9.410156 1670019769.7093
MEM 219.460938 1670019769.8096
CHLD 34289 9.410156 1670019769.8228
CHLD 34296 12.703125 1670019769.8228
CHLD 34297 12.210938 1670019769.8228
MEM 227.945312 1670019769.9265
CHLD 34289 9.410156 1670019769.9361
CHLD 34296 20.746094 1670019769.9361
CHLD 34297 35.460938 1670019769.9361
MEM 228.023438 1670019770.0408
CHLD 34289 9.410156 1670019770.0597
CHLD 34296 20.746094 1670019770.0597
CHLD 34297 35.460938 1670019770.0597
MEM 241.726562 1670019770.1625
CHLD 34289 9.410156 1670019770.1773
CHLD 34296 20.746094 1670019770.1773
CHLD 34297 35.460938 1670019770.1774
MEM 242.394531 1670019770.2798
CHLD 34289 9.410156 1670019770.2981
CHLD 34296 20.769531 1670019770.2981
CHLD 34297 36.753906 1670019770.2981
MEM 244.738281 1670019770.4068
CHLD 34289 9.410156 1670019770.4266
CHLD 34296 23.437500 1670019770.4267
CHLD 34297 39.390625 1670019770.4267
MEM 244.902344 1670019770.5270
CHLD 34289 9.410156 1670019770.5412
CHLD 34296 25.109375 1670019770.5412
CHLD 34297 41.082031 1670019770.5413
MEM 245.941406 1670019770.6422
CHLD 34289 9.410156 1670019770.6577
CHLD 34296 26.265625 1670019770.6577
CHLD 34297 53.242188 1670019770.6577
MEM 245.984375 1670019770.7617
CHLD 34289 9.410156 1670019770.7778
CHLD 34296 25.765625 1670019770.7778
CHLD 34297 65.683594 1670019770.7779
MEM 246.453125 1670019770.8830
CHLD 34289 9.410156 1670019770.8929
CHLD 34296 25.964844 1670019770.8929
CHLD 34297 73.304688 1670019770.8930
MEM 246.550781 1670019770.9942
CHLD 34289 9.410156 1670019771.0036
CHLD 34296 26.050781 1670019771.0036
CHLD 34297 77.671875 1670019771.0036
MEM 246.550781 1670019771.1038
CHLD 34289 9.410156 1670019771.1123
CHLD 34296 26.050781 1670019771.1123
CHLD 34297 77.671875 1670019771.1123
MEM 247.941406 1670019771.2128
CHLD 34289 9.410156 1670019771.2225
CHLD 34296 26.050781 1670019771.2225
CHLD 34297 78.691406 1670019771.2225
MEM 247.945312 1670019771.3235
CHLD 34289 9.410156 1670019771.3322
CHLD 34296 26.050781 1670019771.3322
CHLD 34297 78.691406 1670019771.3322
MEM 247.945312 1670019771.4369
CHLD 34289 9.410156 1670019771.4456
CHLD 34296 26.050781 1670019771.4456
CHLD 34297 78.691406 1670019771.4456
MEM 247.953125 1670019771.5469
CHLD 34289 9.410156 1670019771.5555
CHLD 34296 26.050781 1670019771.5555
CHLD 34297 78.691406 1670019771.5555
MEM 247.953125 1670019771.6560
CHLD 34289 9.410156 1670019771.6641
CHLD 34296 26.050781 1670019771.6641
CHLD 34297 78.691406 1670019771.6641
MEM 247.976562 1670019771.7690
CHLD 34289 9.410156 1670019771.7786
CHLD 34296 26.050781 1670019771.7786
CHLD 34297 78.691406 1670019771.7786
MEM 248.070312 1670019771.8791
CHLD 34289 9.410156 1670019771.8891
CHLD 34296 26.050781 1670019771.8891
CHLD 34297 78.691406 1670019771.8893
MEM 248.078125 1670019771.9918
CHLD 34289 9.410156 1670019772.0005
CHLD 34296 26.050781 1670019772.0005
CHLD 34297 78.691406 1670019772.0005
MEM 248.078125 1670019772.1016
CHLD 34289 9.410156 1670019772.1131
CHLD 34296 26.050781 1670019772.1131
CHLD 34297 78.691406 1670019772.1131
MEM 248.085938 1670019772.2179
CHLD 34289 9.410156 1670019772.2276
CHLD 34296 26.050781 1670019772.2277
CHLD 34297 78.691406 1670019772.2277
MEM 248.105469 1670019772.3279
CHLD 34289 9.410156 1670019772.3380
CHLD 34296 26.050781 1670019772.3380
CHLD 34297 78.691406 1670019772.3380
MEM 248.125000 1670019772.4419
CHLD 34289 9.410156 1670019772.4518
CHLD 34296 26.097656 1670019772.4518
CHLD 34297 78.964844 1670019772.4519
MEM 248.128906 1670019772.5521
CHLD 34289 9.410156 1670019772.5622
CHLD 34296 26.097656 1670019772.5622
CHLD 34297 78.964844 1670019772.5622
MEM 248.128906 1670019772.6646
CHLD 34289 9.410156 1670019772.6735
CHLD 34296 26.097656 1670019772.6735
CHLD 34297 78.964844 1670019772.6735
MEM 248.128906 1670019772.7750
CHLD 34289 9.410156 1670019772.7834
CHLD 34296 26.097656 1670019772.7834
CHLD 34297 78.964844 1670019772.7834
MEM 248.132812 1670019772.8837
CHLD 34289 9.410156 1670019772.8924
CHLD 34296 26.097656 1670019772.8924
CHLD 34297 78.964844 1670019772.8925
MEM 248.132812 1670019772.9953
CHLD 34289 9.410156 1670019773.0040
CHLD 34296 26.097656 1670019773.0041
CHLD 34297 78.964844 1670019773.0041
MEM 248.132812 1670019773.1090
CHLD 34289 9.410156 1670019773.1191
CHLD 34296 26.097656 1670019773.1191
CHLD 34297 78.964844 1670019773.1191
MEM 248.140625 1670019773.2235
