CMDLINE python3 alignEM.py
MEM 0.339844 1670019937.9531
MEM 23.003906 1670019938.0647
MEM 37.664062 1670019938.1736
CHLD 34605 7.750000 1670019938.1863
MEM 45.003906 1670019938.2885
CHLD 34605 9.523438 1670019938.2984
MEM 60.484375 1670019938.3989
CHLD 34605 9.523438 1670019938.4073
MEM 78.621094 1670019938.5092
CHLD 34605 9.523438 1670019938.5183
MEM 90.542969 1670019938.6195
CHLD 34605 9.523438 1670019938.6275
MEM 101.566406 1670019938.7284
CHLD 34605 9.523438 1670019938.7368
MEM 112.550781 1670019938.8371
CHLD 34605 9.523438 1670019938.8468
MEM 124.433594 1670019938.9491
CHLD 34605 9.523438 1670019938.9591
MEM 136.371094 1670019939.0636
CHLD 34605 9.523438 1670019939.0734
MEM 137.847656 1670019939.1748
CHLD 34605 9.523438 1670019939.1841
MEM 143.714844 1670019939.2845
CHLD 34605 9.523438 1670019939.2937
MEM 149.523438 1670019939.3959
CHLD 34605 9.523438 1670019939.4054
MEM 155.160156 1670019939.5105
CHLD 34605 9.523438 1670019939.5197
MEM 157.496094 1670019939.6231
CHLD 34605 9.523438 1670019939.6322
MEM 158.625000 1670019939.7354
CHLD 34605 9.523438 1670019939.7469
MEM 175.195312 1670019939.8513
CHLD 34605 9.523438 1670019939.8678
MEM 184.882812 1670019939.9723
CHLD 34605 9.523438 1670019939.9817
MEM 187.886719 1670019940.0823
CHLD 34605 9.523438 1670019940.0903
MEM 190.703125 1670019940.1908
CHLD 34605 9.523438 1670019940.2047
MEM 217.152344 1670019940.3093
CHLD 34605 9.523438 1670019940.3229
CHLD 34614 0.875000 1670019940.3230
CHLD 34615 0.511719 1670019940.3230
MEM 227.269531 1670019940.4243
CHLD 34605 9.523438 1670019940.4327
CHLD 34614 20.656250 1670019940.4327
CHLD 34615 35.617188 1670019940.4327
MEM 227.335938 1670019940.5372
CHLD 34605 9.523438 1670019940.5514
CHLD 34614 20.656250 1670019940.5514
CHLD 34615 35.617188 1670019940.5514
MEM 240.195312 1670019940.6517
CHLD 34605 9.523438 1670019940.6656
CHLD 34614 20.656250 1670019940.6657
CHLD 34615 35.617188 1670019940.6657
MEM 241.816406 1670019940.7660
CHLD 34605 9.523438 1670019940.7838
CHLD 34614 22.789062 1670019940.7838
CHLD 34615 46.171875 1670019940.7838
MEM 245.125000 1670019940.8841
CHLD 34605 9.523438 1670019940.8995
CHLD 34614 23.078125 1670019940.8995
CHLD 34615 64.175781 1670019940.8995
MEM 245.585938 1670019941.0050
CHLD 34605 9.523438 1670019941.0208
CHLD 34614 23.078125 1670019941.0208
CHLD 34615 70.707031 1670019941.0208
MEM 245.667969 1670019941.1260
CHLD 34605 9.523438 1670019941.1348
CHLD 34614 25.746094 1670019941.1348
CHLD 34615 78.714844 1670019941.1348
MEM 247.136719 1670019941.2352
CHLD 34605 9.523438 1670019941.2486
CHLD 34614 25.863281 1670019941.2487
CHLD 34615 79.687500 1670019941.2487
MEM 247.164062 1670019941.3507
CHLD 34605 9.523438 1670019941.3607
CHLD 34614 25.863281 1670019941.3608
CHLD 34615 79.687500 1670019941.3608
MEM 247.164062 1670019941.4632
CHLD 34605 9.523438 1670019941.4735
CHLD 34614 25.972656 1670019941.4735
CHLD 34615 79.687500 1670019941.4736
MEM 247.164062 1670019941.5772
CHLD 34605 9.523438 1670019941.5866
CHLD 34614 25.972656 1670019941.5866
CHLD 34615 79.687500 1670019941.5866
MEM 247.183594 1670019941.6876
CHLD 34605 9.523438 1670019941.6970
CHLD 34614 25.972656 1670019941.6970
CHLD 34615 79.687500 1670019941.6970
MEM 247.183594 1670019941.7978
CHLD 34605 9.523438 1670019941.8069
CHLD 34614 25.972656 1670019941.8069
CHLD 34615 79.687500 1670019941.8069
MEM 247.183594 1670019941.9081
CHLD 34605 9.523438 1670019941.9169
CHLD 34614 25.972656 1670019941.9169
CHLD 34615 79.687500 1670019941.9170
MEM 247.195312 1670019942.0211
CHLD 34605 9.523438 1670019942.0314
CHLD 34614 25.972656 1670019942.0314
CHLD 34615 79.687500 1670019942.0315
MEM 247.199219 1670019942.1351
CHLD 34605 9.523438 1670019942.1440
CHLD 34614 25.972656 1670019942.1440
CHLD 34615 79.687500 1670019942.1440
MEM 247.199219 1670019942.2477
CHLD 34605 9.523438 1670019942.2562
CHLD 34614 25.972656 1670019942.2562
CHLD 34615 79.687500 1670019942.2563
MEM 247.199219 1670019942.3580
CHLD 34605 9.523438 1670019942.3717
CHLD 34614 25.972656 1670019942.3717
CHLD 34615 79.953125 1670019942.3717
MEM 247.558594 1670019942.4770
CHLD 34605 9.523438 1670019942.4870
CHLD 34614 25.996094 1670019942.4871
CHLD 34615 79.984375 1670019942.4871
MEM 247.558594 1670019942.5892
CHLD 34605 9.523438 1670019942.5977
CHLD 34614 25.996094 1670019942.5977
CHLD 34615 79.984375 1670019942.5977
MEM 247.558594 1670019942.7004
CHLD 34605 9.523438 1670019942.7091
CHLD 34614 25.996094 1670019942.7091
CHLD 34615 79.984375 1670019942.7091
MEM 247.558594 1670019942.8108
CHLD 34605 9.523438 1670019942.8204
CHLD 34614 25.996094 1670019942.8204
CHLD 34615 79.984375 1670019942.8204
MEM 247.574219 1670019942.9241
CHLD 34605 9.523438 1670019942.9334
CHLD 34614 25.996094 1670019942.9335
CHLD 34615 79.984375 1670019942.9335
MEM 247.574219 1670019943.0378
CHLD 34605 9.523438 1670019943.0485
CHLD 34614 25.996094 1670019943.0486
CHLD 34615 79.984375 1670019943.0486
MEM 247.574219 1670019943.1503
CHLD 34605 9.523438 1670019943.1589
CHLD 34614 25.996094 1670019943.1589
CHLD 34615 79.984375 1670019943.1589
MEM 247.574219 1670019943.2606
CHLD 34605 9.523438 1670019943.2693
CHLD 34614 25.996094 1670019943.2693
CHLD 34615 79.984375 1670019943.2694
MEM 247.574219 1670019943.3711
CHLD 34605 9.523438 1670019943.3792
CHLD 34614 25.996094 1670019943.3792
CHLD 34615 79.984375 1670019943.3792
MEM 247.574219 1670019943.4820
CHLD 34605 9.523438 1670019943.4909
CHLD 34614 25.996094 1670019943.4909
CHLD 34615 79.984375 1670019943.4909
MEM 247.574219 1670019943.5946
CHLD 34605 9.523438 1670019943.6026
CHLD 34614 25.996094 1670019943.6026
CHLD 34615 79.984375 1670019943.6026
MEM 247.574219 1670019943.7048
CHLD 34605 9.523438 1670019943.7131
CHLD 34614 25.996094 1670019943.7131
CHLD 34615 79.984375 1670019943.7131
MEM 247.574219 1670019943.8149
CHLD 34605 9.523438 1670019943.8251
CHLD 34614 25.996094 1670019943.8251
CHLD 34615 79.984375 1670019943.8251
MEM 247.574219 1670019943.9253
CHLD 34605 9.523438 1670019943.9341
CHLD 34614 25.996094 1670019943.9341
CHLD 34615 79.984375 1670019943.9341
MEM 247.574219 1670019944.0385
CHLD 34605 9.523438 1670019944.0477
CHLD 34614 25.996094 1670019944.0477
CHLD 34615 79.984375 1670019944.0477
MEM 247.574219 1670019944.1508
CHLD 34605 9.523438 1670019944.1601
CHLD 34614 25.996094 1670019944.1601
CHLD 34615 79.984375 1670019944.1601
MEM 247.574219 1670019944.2605
CHLD 34605 9.523438 1670019944.2738
CHLD 34614 25.996094 1670019944.2738
CHLD 34615 79.984375 1670019944.2738
MEM 247.574219 1670019944.3782
CHLD 34605 9.523438 1670019944.3878
CHLD 34614 25.996094 1670019944.3878
CHLD 34615 79.984375 1670019944.3879
MEM 247.574219 1670019944.4884
CHLD 34605 9.523438 1670019944.4967
CHLD 34614 25.996094 1670019944.4967
CHLD 34615 79.984375 1670019944.4967
MEM 247.574219 1670019944.5986
CHLD 34605 9.523438 1670019944.6077
CHLD 34614 25.996094 1670019944.6077
CHLD 34615 79.984375 1670019944.6077
MEM 247.574219 1670019944.7121
CHLD 34605 9.523438 1670019944.7200
CHLD 34614 25.996094 1670019944.7200
CHLD 34615 79.984375 1670019944.7200
MEM 247.578125 1670019944.8238
CHLD 34605 9.523438 1670019944.8322
CHLD 34614 25.996094 1670019944.8322
CHLD 34615 79.984375 1670019944.8322
MEM 247.578125 1670019944.9334
CHLD 34605 9.523438 1670019944.9415
CHLD 34614 25.996094 1670019944.9415
CHLD 34615 79.984375 1670019944.9415
MEM 247.578125 1670019945.0429
CHLD 34605 9.523438 1670019945.0542
CHLD 34614 25.996094 1670019945.0542
